student,id,academic_year,semester,Chinese,English,Mathematics,Science,conduct
S0001,1,2022,1,67,87,87,93,B
S0001,2,2022,2,78,94,76,78,A
S0001,3,2023,1,56,67,87,93,B
S0001,4,2023,2,78,94,88,78,A
S0001,5,2024,1,67,56,77,89,B
S0002,6,2022,1,78,67,67,88,A
S0002,7,2022,2,76,87,88,68,A
S0002,8,2023,1,76,68,78,76,A
S0002,9,2023,2,97,67,76,77,A
S0002,10,2024,1,77,98,87,98,A
S0003,11,2022,1,67,87,87,93,B
S0003,12,2022,2,78,67,76,78,B
S0003,13,2023,1,56,67,66,93,B
S0003,14,2023,2,56,56,88,78,C
S0003,15,2024,1,87,88,77,89,B
S0004,16,2022,1,68,78,87,93,B
S0004,17,2022,2,67,76,76,78,A
S0004,18,2023,1,98,67,87,93,B
S0004,19,2023,2,87,87,88,78,A
S0004,20,2024,1,67,56,77,89,B
S0005,21,2022,1,67,76,98,93,B
S0005,22,2022,2,78,94,76,78,A
S0005,23,2023,1,56,67,87,93,B
S0005,24,2023,2,78,94,96,78,A
S0005,25,2024,1,67,56,77,89,B
S0006,26,2022,1,67,87,46,93,B
S0006,27,2022,2,78,94,76,78,A
S0006,28,2023,1,56,67,87,93,B
S0006,29,2023,2,78,94,88,78,A
S0006,30,2024,1,67,56,77,89,B
S0007,31,2022,1,67,87,87,93,B
S0007,32,2022,2,78,94,76,78,A
S0007,33,2023,1,56,67,87,93,B
S0007,34,2023,2,67,94,88,78,A
S0007,35,2024,1,77,56,77,89,B
S0008,36,2022,1,98,87,87,93,A
S0008,37,2022,2,75,94,76,78,A
S0008,38,2023,1,56,67,87,93,B
S0008,39,2023,2,78,94,88,78,A
S0008,40,2024,1,87,87,77,89,B
S0009,41,2022,1,94,76,87,93,B
S0009,42,2022,2,67,87,76,78,A
S0009,43,2023,1,94,88,87,93,B
S0009,44,2023,2,56,77,88,78,A
S0009,45,2024,1,67,56,77,89,B
S0010,46,2022,1,67,87,87,93,B
S0010,47,2022,2,78,94,76,78,C
S0010,48,2023,1,56,67,87,93,B
S0010,49,2023,2,78,94,88,78,A
S0010,50,2024,1,67,56,77,89,B
S0011,51,2023,1,56,67,87,93,B
S0011,52,2023,2,78,94,88,78,A
S0011,53,2024,1,67,56,77,89,B
S0012,54,2023,1,56,67,87,93,B
S0012,55,2023,2,78,94,88,78,A
S0012,56,2024,1,87,67,77,89,A
S0013,57,2023,1,67,45,76,93,B
S0013,58,2023,2,56,67,76,78,A
S0013,59,2024,1,67,67,87,89,B
S0014,60,2023,1,67,66,99,93,B
S0014,61,2023,2,68,94,88,78,A
S0014,62,2024,1,98,67,77,89,B
S0015,63,2023,1,67,66,99,93,B
S0015,64,2023,2,68,94,88,78,A
S0015,65,2024,1,98,67,77,89,B
S0016,66,2023,1,67,66,99,93,B
S0016,67,2023,2,68,94,88,78,A
S0016,68,2024,1,98,67,77,89,B
S0017,69,2023,1,67,66,99,93,B
S0017,70,2023,2,77,77,88,78,A
S0017,71,2024,1,98,67,56,89,B
S0018,72,2023,1,67,66,99,93,B
S0018,73,2023,2,68,46,56,78,A
S0018,74,2024,1,87,44,77,89,C
S0019,75,2023,1,56,66,99,93,B
S0019,76,2023,2,68,45,88,78,A
S0019,77,2024,1,98,67,77,89,B
S0020,78,2023,1,67,66,66,93,C
S0020,79,2023,2,68,94,88,78,A
S0020,80,2024,1,98,67,86,89,A
S0021,81,2024,1,67,66,99,93,B
S0022,82,2024,1,68,94,88,78,A
S0023,83,2024,1,98,67,77,89,B
S0024,84,2024,1,67,66,99,93,B
S0025,85,2024,1,68,94,88,78,A
S0026,86,2024,1,67,66,99,93,B
S0027,87,2024,1,68,94,88,78,A
S0028,88,2024,1,98,67,77,89,B
S0029,89,2024,1,67,66,99,93,B
S0030,90,2024,1,68,94,88,78,A
